id,score
0,4.2393517
1,4.192899
2,3.1291928
3,5.380882
4,3.2007318
5,4.17503
6,3.9597235
7,2.676959
8,3.767098
9,3.2946393
10,5.2524195
11,3.1412637
12,3.6879566
13,2.666957
14,4.806519
15,3.9464247
16,3.4461904
17,3.9021783
18,3.4142675
19,4.497029
20,4.2009015
21,3.4914358
22,3.4671125
23,3.4560893
24,3.9769967
25,2.4152975
26,4.186228
27,3.408441
28,2.8013518
29,2.3589106
30,5.3786
31,4.57424
32,4.661652
33,3.081223
34,3.1098537
35,5.2825704
36,2.481152
37,2.3441415
38,4.8325014
39,3.6247282
40,3.0402102
41,5.726789
42,3.4667592
43,3.6113567
44,3.729704
45,3.9685118
46,5.337141
47,4.32086
48,3.7719295
49,4.1558857
50,3.4246826
51,2.0816503
52,5.2765512
53,3.8486624
54,4.272408
55,4.008502
56,3.6698084
57,1.7960943
58,2.905088
59,5.258488
60,4.1002936
61,3.0467987
62,4.176714
63,3.13089
64,5.3790293
65,3.4917462
66,4.164707
67,2.0644267
68,3.433563
69,3.916213
70,5.043596
71,4.6434665
72,3.8053346
73,3.9838717
74,3.7371464
75,3.4108167
76,4.7111917
77,3.49399
78,4.0060887
79,4.946953
80,3.483954
81,3.6763818
82,3.8735766
83,2.1828737
84,4.389647
85,3.2825603
86,3.0200183
87,3.0167923
88,3.484026
89,4.0158625
90,3.3780155
91,4.4385242
92,5.5334635
93,5.3705096
94,4.0928035
95,4.2821584
96,3.4883351
97,3.8953223
98,2.8931322
99,4.0364423
100,4.359128
101,4.3211775
102,2.592397
103,5.133549
104,4.252781
105,4.458215
106,3.9469504
107,4.2502823
108,4.390192
109,4.0582776
110,4.807535
111,5.005106
112,3.281192
113,4.0686116
114,4.4247174
115,1.6347749
116,3.8178592
117,3.4662666
118,2.703839
119,4.2406344
120,4.0550423
121,2.530487
122,4.767341
123,2.8792028
124,3.1282322
125,4.261629
126,3.708358
127,3.9324684
128,3.1800053
129,4.807183
130,2.4524639
131,4.074506
132,2.9617367
133,4.1232896
134,2.4332173
135,4.566421
136,4.1326175
137,4.7440443
138,3.5498276
139,5.2068453
140,4.3086624
141,4.3118467
142,3.0458338
143,3.8950546
144,4.2119455
145,5.084464
146,2.92952
147,4.111062
148,4.6081038
149,2.9399526
150,4.0725856
151,2.8270736
152,3.7545383
153,4.944584
154,3.563152
155,4.4011374
156,2.643058
157,2.6798925
158,3.7492762
159,3.883441
160,3.5725856
161,2.943236
162,4.2553
163,4.4818053
164,4.0873995
165,3.4827802
166,4.7738814
167,4.695987
168,4.359091
169,2.9200816
170,2.4429777
171,4.2115498
172,4.405652
173,3.1613345
174,3.4466963
175,4.4498487
176,3.812725
177,3.923216
178,2.956491
179,2.3566725
180,3.2596588
181,4.6666627
182,4.4406114
183,3.0562732
184,4.9821343
185,2.6067708
186,3.9242764
187,4.4067907
188,4.985514
189,3.6409256
190,2.6659281
191,3.104246
192,4.010818
193,3.811504
194,4.3335204
195,3.1574974
196,5.028225
197,4.447497
198,3.975637
199,4.2483335
200,4.6182995
201,3.6992867
202,4.5740266
203,4.6975427
204,3.9286172
205,3.8179414
206,5.495812
207,3.9393144
208,4.6343346
209,3.5592327
210,1.6616482
211,3.9586332
212,2.7751763
213,4.8041515
214,2.7768543
215,3.0193646
216,3.3641512
217,5.1757984
218,3.2715077
219,3.0445032
220,4.382417
221,4.6188416
222,3.0123227
223,4.040024
224,2.2764468
225,3.9683568
226,2.80293
227,3.4604702
228,4.757541
229,5.4508395
230,3.9332645
231,4.1192656
232,5.347624
233,3.9035244
234,3.60445
235,4.6121025
236,4.566778
237,3.2215962
238,3.1301143
239,4.4294243
240,3.3798053
241,2.7186565
242,3.2192018
243,2.8302865
244,3.7393045
245,3.666314
246,3.802404
247,4.448934
248,2.8326595
249,2.6914604
